,artist,track,genres
0,Montgomery Gentry,Lucky Man,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
1,Pretty Ricky,On The Hotline,"['dance pop', 'dirty south rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
2,Billy Currington,I Got A Feelin',"['contemporary country', 'country', 'country road']"
3,Alan Jackson,Where I Come From,"['contemporary country', 'country', 'country road']"
4,Tim McGraw,Nothin' To Die For,"['contemporary country', 'country', 'country road']"
5,Frankee,F.U.R.B. (F U Right Back),[]
6,Jason Aldean,Amarillo Sky,"['contemporary country', 'country', 'country road']"
7,Phil Vassar,Six-Pack Summer,"['contemporary country', 'country', 'country road', 'modern country rock']"
8,Montgomery Gentry,Daddy Won't Sell The Farm,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
9,The All-American Rejects,Move Along,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-teen pop']"
10,Big Punisher Featuring Donell Jones,It's So Hard,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
11,Fat Joe Featuring Lil Wayne,Make It Rain,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
12,Reba McEntire,He Gets That From Me,"['contemporary country', 'country', 'country dawn', 'oklahoma country']"
13,Phil Vassar,Carlene,"['contemporary country', 'country', 'country road', 'modern country rock']"
14,Sugar Ray,Someday,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']"
15,Craig David,7 Days,"['british soul', 'dance pop', 'pop rap', 'r&b', 'urban contemporary']"
16,Justin Timberlake,Rock Your Body,"['dance pop', 'pop']"
17,J. Holiday,Bed,"['bassline', 'hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
18,Papa Roach,Scars,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']"
19,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary', 'dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']"
20,Shinedown,Sound Of Madness,"['alternative metal', 'modern rock', 'nu metal', 'post-grunge']"
21,Rick Ross Featuring Nelly & Avery Storm,Here I Am,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
22,David Archuleta,Crush,"['dance pop', 'idol', 'lds youth', 'post-teen pop', 'viral pop']"
23,Blake Shelton,Some Beach,"['contemporary country', 'country', 'country road', 'oklahoma country']"
24,Kellie Coffey,When You Lie Next To Me,"['country', 'country dawn', 'oklahoma country']"
25,Plain White T's,"1, 2, 3, 4","['neo mellow', 'pop punk', 'pop rock', 'post-teen pop']"
26,Carrie Underwood,Mama's Song,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']"
27,John Legend,Used To Love U,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
28,Aly & AJ,Rush,"['dance pop', 'electropop', 'girl group', 'indie poptimism', 'neo mellow', 'pop', 'post-teen pop']"
29,Keyshia Cole,I Remember,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
30,Busta Rhymes Featuring Linkin Park,We Made It,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
31,Craig Morgan,Almost Home,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
32,Baha Men,Who Let The Dogs Out,['bahamian pop']
33,John Legend,Ordinary People,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
34,Kenny Chesney,Living In Fast Forward,"['contemporary country', 'country', 'country road']"
35,Martina McBride,How Far,"['contemporary country', 'country', 'country dawn', 'country road']"
36,Yo Gotti,5 Star,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'escape room', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'rap latina', 'southern hip hop', 'trap', 'trap queen', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
37,Gary Allan,Life Ain't Always Beautiful,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
38,Keith Urban,Kiss A Girl,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']"
39,Barenaked Ladies,Another Postcard (Chimps),"['canadian pop', 'canadian rock', 'comic', 'pop rock']"
40,Toby Keith,As Good As I Once Was,"['contemporary country', 'country', 'country road', 'oklahoma country']"
41,LL Cool J,Headsprung,"['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop', 'urban contemporary']"
42,Beth Hart,L.A. Song,"['blues rock', 'electric blues', 'lilith', 'modern blues']"
43,Chris Cagle,Chicks Dig It,"['contemporary country', 'country', 'country road', 'modern country rock']"
44,Nick Lachey,What's Left Of Me,[]
45,Whitney Houston,I Learned From The Best,"['dance pop', 'pop', 'urban contemporary']"
