,Unnamed: 0,artist,track,genres,lyrics
0,0,Montgomery Gentry,Lucky Man,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']","[Verse 1]
I have days where I hate my job
This little town and the whole world too
And last Sunday when my Bengals lost
Lord, it put me in a bad mood

[Verse 2]
I have moments when I curse the rain
But then complain when the sun's too hot
I look around at what everyone has
And I forget about all I've got

[Chorus 1]
But I know I'm a lucky man
God's given me a pretty fair hand
Got a house and piece of land
A few dollars in a coffee can

[Chorus 2]
My old truck's still runnin' good
My ticker's tickin' like they say it should
I've got supper in the oven, a good woman's lovin'
And one more day to be my little kid's dad
Lord knows I'm a lucky man

[Verse 3]
Got some friends who would be here fast
I could call 'em any time of day
Got a brother who's got my back
Got a mama who I swear's a saint
[Verse 4]
Got a brand new rod and reel
Got a full week off this year
Dad had a close call last spring
It's a miracle he's still here

[Chorus 1]
But I know I'm a lucky man
God's given me a pretty fair hand
Got a house and piece of land
A few dollars in a coffee can

[Chorus 2]
My old truck's still runnin' good
My ticker's tickin' like they say it should
I've got supper in the oven, a good woman's lovin'
And one more day to be my little kids dad
Lord knows I'm a lucky man

[Chorus 2]
Woh, my old truck's still runnin' good
My ticker's tickin' like they say it should
I've got supper in the oven, a good woman's lovin'
And even my bad days ain't that bad
Yeah, I'm a lucky man
[Outro]
I'm a lucky, lucky manEmbedShare URLCopyEmbedCopy"
1,1,Pretty Ricky,On The Hotline,"['dance pop', 'dirty south rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']","[Hook: Pleasure]
It's five in the mornin'
And I'm up havin' phone sex witchu you, you (so horny, so horny)
And now I'm on the hotline
Over here lustin' for you, you (so horny, so horny)

Let's talk about sex baby, let's talk about you and me
Let's talk about bubbles in the tub, let's talk about makin' love
Let's talk about you on top, or me goin' down
Let's have a little phone sex baby, on the hotline

[Verse 1: Baby Blue]
On the hotline, the sun ain't up but, I had to call ya
Cuz I'm home alone lustin' for ya
I'm in my room, nothing' but a towel on
Take them granny panties off put a thong on
I love it when I hear ya moan
You got that sexy tone, that makes the dick long
You in a complete 'nother city on the fanline with nothin' but a baby tee on
You the kinda girl that's sexy in some boxer shorts
I'm the kinda nigga that make you ride it like a Porsche
Yeah, I met you on Myspace
Now I'm bout to fly you out to my place, in the mornin'

[Hook]
[Verse 2: Slick'Em]
It's 5:30 in the morning, good morning
I'm horny and I'm lonely
I'm touching and rubbing
Call me, call me, you call me, you call me
Called you seven times baby girl don't stall me
I wanna kiss you from your temple to your feet
To the dimples in ya cheek, to the middle of your g-string
Conversation underneath the sheets
You know me, Red Bull like a energy, I'mma freak

[Verse 3: Spectacular]
Baby girl said she love phone sex
Say the sound of my deep voice make her wet
You call me five a.m. on the dot
Now I'm thinkin' bout you with panties no top
Picture this, you say you comin' over
Thirty minutes later you was parkin' the Rover
Jumped out the car and I met you at the do'
Three seconds in the house and ya panties on the flo'
Kiss you on ya mouth and ya hips on my cheeks
Straight action on the carpet, rug burns on my knees
Now you on the phone like damn I made a mess
Got my hands in my pants man I love phone sex

[Hook]8EmbedShare URLCopyEmbedCopy"
2,2,Billy Currington,I Got A Feelin',"['contemporary country', 'country', 'country road']","[Verse 1]
I don't want to rush this thing
I don't want to jump the gun
I really want to say those three little words
But I'm going to bite my tongue

[Verse 2]
Yeah, I'm just gonna lay on back
Leave it on cruise control
I'm gonna hold it all inside
'Til the right time comes down the road

[Pre-Chorus]
I got a feelin'
My head's a reelin'
My heart is screamin'
I'm about to bust loose

[Chorus]
Bottled up emotion
It's more than a notion
It starts with an I
And ends with a you
I got a feelin'
Are you feelin' it too?
[Verse 3]
I guess I've all but said it now
So much for hopin' you'd go first
Don't leave me hangin' out here on the line
Baby, it's your turn

[Verse 4]
Say you couldn't sleep last night
Swore that you could feel me breathe
Had you wanting me there by your side
Yeah, baby I know what you mean

[Pre-Chorus]
I got a feelin'
My head's a reelin'
My heart is screamin'
I'm about to bust loose

[Chorus]
Bottled up emotion
It's more than a notion
It starts with an I
And ends with a you
I got a feelin'
You're feelin' it too
[Chorus]
Bottled up emotion
It's more than a notion
It starts with an I
And ends with a you
I got a feelin'
You're feelin' it too

[Outro]
You're feelin' it too
Yeah, you're feelin' it too
You're feelin' it too
Oh yeah1EmbedShare URLCopyEmbedCopy"
3,3,Alan Jackson,Where I Come From,"['contemporary country', 'country', 'country road']","[Verse 1]
Well I was rolling wheels and shifting gears
Around that Jersey Turnpike
Barney stopped me with his gun
Ten minutes after midnight
Said, ""Sir you broke the limit
In thit rusty old truck""
I don't know about that accent son
Just where did you come from

[Chorus]
I said where I come from
It's cornbread and chicken
Where I come from
A lot of front porch sitting
Where I come from
Trying to make a living
And working hard to get to heaven
Where I come from

[Verse 2]
Well I was south of Detroit City
I pulled in this country kitchen
To try their brand of barbecue
The sign said finger-lickin'
Well I paid the tab
And the lady asked me
How'd I like my biscuit
I'll be honest with you ma'am
It ain't like mama fixed it
[Chorus]
Cause where I come from
It's cornbread and chicken
Where I come from
A lot of front porch sitting
Where I come from
Trying to make a living
And working hard to get to heaven
Where I come from

[Verse 3]
I was chasing sun on 101
Somewhere around Ventura
I lost a universal joint
And I had to use my finger
This tall lady stopped and asked
If I had plans for dinner
Said no thanks ma'am
Back home We like the girls
That sing soprano

[Chorus]
I said where I come from
It's cornbread and chicken
Where I come from a lot of front porch sitting
Where I come from trying to make a living
And working hard to get to heaven
Where I come from
[Verse 4]
Well I was headed home on 65
Somewhere around Kentucky
The CB rang for the bobtail rig
That's rolling on like thunder
Well I answered him and he asked me
Aren't you from out in Tulsa
No, but you might have seen me there
I just dropped a load of salsa

[Chorus]
I said where I come from
It's cornbread and chicken
Where I come from a lot of front porch sitting
Where I come from trying to make a living
And working hard to get to heaven
Where I come from

[Chorus]
Where I come from it's cornbread and chicken
Where I come from a lot of back porch picking
Where I come from trying to make a living
Working hard to get to heaven
Where I come from
Yeah where I come from
A lot of front porch sitting
Staring up at heaven
Where I come from
Where I come from
Trying to make a living
Trying to make a living
Oh, where I come from
Where I come from
Yeah where I come from
Get back down there sometimes
Where I come from2EmbedShare URLCopyEmbedCopy"
4,4,Tim McGraw,Nothin' To Die For,"['contemporary country', 'country', 'country road']","[Verse 1]
Stopped to have a few at five now you're crossing that center line for the third time
Second time like this this week had a friend ask you for your keys
You said 'no I'm fine'
You sure do act like you don't got a thing to lose
But every car you pass might be the ones you take with you

[Chorus]
You'd give your last breath to your wife
Take a bullet for your kids
Lay your life down for your country for your Jesus for your friends
There's a whole lot of things you say you're living for
You've got to fight it somehow, stop and turn around
'Cause this ain't nothing to die for

[Verse 2]
So what's the harm in a little fun
'Cause you're off to work before the sun every day
And the inbox outbox locks you in and the money you make ain't worth the time you spend to make your pay
The doctor says 'man your numbers they don't lie'
The graveyard's full of folks that didn't have time to die

[Chorus]
You'd give your last breath to your wife
Take a bullet for your kids
Lay your life down for your country for your Jesus for your friends
There's a whole lot of things you say you're living for
You've got to fight it somehow, stop and turn around
'Cause this ain't nothing to die for
[Verse 3]
Straight through that guardrail up into that white light
You hear a sweet voice saying just this side of the other side
Just this side of the other side

[Chorus]
You'd give your last breath to your wife
Take a bullet for your kids
Lay your life down for your country for your Jesus for your friends
There's a whole lot of things you say you're living for
You've got to fight it somehow, stop and turn around
'Cause this ain't nothing to die for

[Outro]
Ain't nothing to die for
Nothing to die for
Ain't nothing to die forEmbedShare URLCopyEmbedCopy"
5,5,Frankee,F.U.R.B. (F U Right Back),[],"[Intro]
Ohh
Ohh
No, no, no
(You know there are two sides to every story)

[Verse 1]
See I don't know why you cryin' like a bitch
Talkin' shit like a snitch
Why you write a song 'bout me?
If you really didn't care, you wouldn't wanna share
Tellin' everybody just how you feel

[Chorus]
Fuck what I did, was your fault somehow
Fuck the presents, I threw all that shit out
Fuck all the cryin', it didn't mean jack
Well, guess what yo, fuck you right back
Fuck what I did, was your fault somehow
Fuck the presents, I threw all that shit out
Fuck all the cryin', it didn't mean jack
Well, guess what yo, fuck you right back

[Verse 2]
You thought you could really make me moan
I had better sex all alone (Ha ha ha ha)
I had to turn to your friend
Now you want me to come back, you must be smokin' crack
Im goin' else where and thats a fact
[Chorus 2]
Fuck all those nights, I moaned real loud
Fuck it, I faked it, aren't you proud?
Fuck all those nights you thought you broke my back
Well, guess what yo, your sex was wack
Fuck all those nights, I moaned real loud
Fuck it, I faked it, aren't you proud?
Fuck all those nights you thought you broke my back
Well, guess what yo, your sex was wack

[Post-Chorus]
Oh, oh
Uh, uh, yeah
Oh, oh
Uh, uh, yeah
Oh, oh
Uh, uh, yeah
Oh, oh
Uh, uh, yeah

[Verse 3]
You questioned: ""Did I care?""
Maybe I would have if you woulda gone down there
Now it's, over
But I do admit I'm glad, I didn't catch your crabs
I can't sweat that 'cause I got to go
[Chorus]
Fuck what I did, was your fault somehow
Fuck the presents, I threw all that shit out
Fuck all the cryin', it didn't mean jack
Well, guess what yo, fuck you right back

[Post-Chorus]
Oh, oh
Uh, uh, yeah
Oh, oh
Uh, uh, yeah
Oh, oh
Uh, uh, yeah
Oh, oh
Uh, uh, yeah

[Outro]
You made me do this5EmbedShare URLCopyEmbedCopy"
6,6,Jason Aldean,Amarillo Sky,"['contemporary country', 'country', 'country road']","[Verse 1]
He gets up before the dawn
Packs a lunch and a thermos full of coffee
It's another day in the dusty haze
Those burnin' rays are wearin' down his body
The diesel's worth the price of gold
It's the cheapest grain he's ever sold
But he's still holdin' on

[Chorus]
He just takes the tractor another round
And pulls the plow across the ground
And sends up another prayer
He says, ""Lord, I never complain, I never ask 'Why?'
Please don't let my dreams run dry
Underneath, underneath this Amarillo Sky""

[Verse 2]
That hail storm back in '83
Sure did take a toll on his family
But he stayed strong and carried on
Just like his Dad and Granddad did before him
On his knees every night
He prays, ""Please let my crops and children grow""
'Cause that's all he's ever known
[Chorus]
He just takes the tractor another round
And pulls the plow across the ground
And sends up another prayer
He says, ""Lord, I never complain, I never ask 'Why?'
Please don't let my dreams run dry
Underneath, underneath this Amarillo Sky""

[Interlude]

[Chorus]
And he takes the tractor another round. (Another round)
Another round (Another round), another round
And he takes the tractor another round, another round
He says, ""I never complain, I never ask 'Why?'
Please don't let my dreams run dry
Underneath, underneath this Amarillo Sky""
""Underneath this Amarillo Sky""5EmbedShare URLCopyEmbedCopy"
7,7,Phil Vassar,Six-Pack Summer,"['contemporary country', 'country', 'country road', 'modern country rock']","Winter sure was cold and miserable
Cooped up, shut down, baby it was pitiful
Anyhow, it's over now
We owe to ourselves to have a little fun
The pace car's pacin' now the green flag's wavin'

Uh, oh another six-pack summer comin'
Sing to me babe I'll be your dashboard drummer and
Let's turn the radio up as loud it can go
Got the ultra-ray wraparound sunglass vision
Got the sails up iced down a cool ambition
Just to relax and let the six-pack summer roll

We've got the sun block, a blanket and the best of Jimmy Buffet
T-bones for the grill, hey ain't it great to rough it
The party's on from dawn to dawn
24-7 'til they pull the plug
No more waitin' come on and kiss me baby

Uh, oh another six-pack summer comin'
Sing to me babe I'll be your dashboard drummer and
Let's turn the radio up as loud it can go
Got the ultra-ray wraparound sunglass vision
Got the sails up iced down a cool ambition
Just to relax and let the six-pack summer roll
Slow and steady, I'm so ready
Uh, oh another six-pack summerEmbedShare URLCopyEmbedCopy"
8,8,Montgomery Gentry,Daddy Won't Sell The Farm,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']","His cows get loose and run right through the fast food parking lots
And Daddy gets calls from the mini-malls
When they're downwind from his hogs
When his tractor backs up traffic, the reception ain't too warm
The city's growing around him, but Daddy won't sell the farm
You can't roll a rock, up a hill that steep
You can't pull roots when they run that deep
He's gonna live and die, in the eye of an urban storm
Daddy won't sell the farm

He worked and slaved in '68, he bought these fields and trees
He raised his corn and a big red barn and a healthy family
He learned to love the woodlands, he can't stand to do them harm. There's concrete all
Around him, but Daddy won't sell the farm

You can't roll a rock, up a hill that steep
You can't pull roots when they run that deep
He's gonna live and die, in the eye of an urban storm
Daddy won't sell the farm

One day he's gonna leave it all to me and I'll start my own branch of the family tree
They'll get the message written on the roof of the barn, Daddy won't sell the farm

You can't roll a rock, up a hill that steep
You can't pull roots when they run that deep
He's gonna live and die, in the eye of an urban storm
Daddy won't sell the farm
We're gonna live and die, in the eye of an urban storm
Daddy won't sell the farm. Oh you know a country boy can surviveEmbedShare URLCopyEmbedCopy"
9,9,The All-American Rejects,Move Along,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-teen pop']","[Verse 1]
Go ahead as you waste your days with thinking
When you fall, everyone stands
Another day and you've had your fill of sinking
With the life held in your
Hands are shaking cold
These hands are meant to hold (Speak to me)

[Chorus]
When all you got to keep is strong
Move along, move along like I know ya do
And even when your hope is gone
Move along, move along just to make it through
Move along
Move along

[Verse 2]
So a day when you've lost yourself completely
Could be a night when your life ends
Such a heart that will lead you to deceiving
All the pain held in your
Hands are shaking cold
Your hands are mine to hold
Speak to me

[Chorus]
When all you got to keep is strong
Move along, move along like I know ya do
And even when your hope is gone
Move along, move along just to make it through
Move along
[Bridge]
(Go on, go on, go on, go on)
When everything is wrong, we move along
(Go on, go on, go on, go on)
When everything is wrong, we move along
(Along) along (Along) along (Along) along (Along)

[Break]
When all you got to keep is strong
Move along, move along like I know you do
And even when your hope is gone
Move along, move along
Just to make it through

[Chorus]
When all you got to keep is strong
Move along, move along like I know ya do
And even when your hope is gone
Move along, move along just to make it through
(Just to make it through)
When all you got to keep is strong
Move along, move along like I know ya do (Like I know ya do)
And even when your hope is gone
Move along, move along just to make it through
Move along
[Outro]
(Go on, go on, go on, go on)
Right back what is wrong
We move along
(Go on, go on, go on, go on)
Right back what is wrong
We move along
(Go on, go on, go on, go on)
Right back what is wrong
We move along
(Go on, go on, go on, go on)
Right back what is wrong
We move along27EmbedShare URLCopyEmbedCopy"
